Bus Current,Pack Current,Pack Voltage,Vehicle Velocity,Distance Driven
0.0,53.400000000000006,4505.8,0.0,-0.07201245427131653
0.0,53.400000000000006,4505.8,0.0,-0.07201245427131653
0.0,53.400000000000006,4505.8,0.0,-0.05760257691144943
0.0,53.400000000000006,4505.8,0.0,-0.07201113551855087
0.0,53.400000000000006,4505.8,0.0,-0.07201113551855087
0.0,53.400000000000006,4505.8,0.0,-0.07201113551855087
0.0,53.400000000000006,4505.8,0.0,-0.07201113551855087
0.0,53.400000000000006,4505.8,0.0,-0.05760125815868378
0.0,53.400000000000006,4505.8,0.0,-0.05760125815868378
0.0,53.400000000000006,4505.8,0.0,-0.05760125815868378
0.0,53.400000000000006,4505.8,0.0,-0.05760125815868378
0.0,53.400000000000006,4505.8,0.0,-0.05760125815868378
0.0,53.400000000000006,4505.8,0.0,-0.05760125815868378
0.0,53.400000000000006,4505.8,0.0,-0.05760125815868378
0.0,53.400000000000006,4505.8,0.0,-0.07200981676578522
0.0,53.400000000000006,4505.8,0.0,-0.07200981676578522
0.0,53.400000000000006,4505.8,0.0,-0.07200981676578522
0.0,53.400000000000006,4505.8,0.0,-0.07200981676578522
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.05759993940591812
0.0,53.400000000000006,4505.8,0.0,-0.04319005832076073
0.0,53.400000000000006,4505.8,0.0,-0.04319005832076073
0.0,53.400000000000006,4505.8,0.0,-0.04319005832076073
0.0,53.400000000000006,4505.8,0.002578669460490346,-0.057598620653152466
0.0,53.400000000000006,4505.8,0.002578669460490346,-0.057598620653152466
0.0,53.400000000000006,4505.8,0.002578669460490346,-0.057598620653152466
0.0,53.400000000000006,4505.8,0.002578669460490346,-0.057598620653152466
0.0,53.400000000000006,4505.8,0.002578669460490346,-0.057598620653152466
0.0,53.400000000000006,4505.8,0.002578669460490346,-0.057598620653152466
0.0,53.400000000000006,4505.8,0.002578669460490346,-0.057598620653152466
0.0,53.400000000000006,4505.8,0.002578669460490346,-0.057598620653152466
0.0,53.400000000000006,4505.8,0.002578669460490346,-0.057598620653152466
0.0,53.400000000000006,4505.8,0.002578669460490346,-0.057598620653152466
